                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.42867,                0.36291,                 1.0098,                0.99775,                      1,                  0.995,                0.95943,                0.28687,                0.26509,                0.83543,              0.0002972,              0.0002972,              0.0002972
                     88,                0.41686,                0.35536,                 1.0258,                0.99729,                      1,                  0.995,                0.96058,                0.28727,                0.26072,                0.83098,              0.0002774,              0.0002774,              0.0002774
                     89,                0.41211,                0.34801,                 1.0266,                0.99725,                      1,                  0.995,                0.95968,                0.27696,                0.25654,                 0.8233,              0.0002576,              0.0002576,              0.0002576
                     90,                0.41354,                0.35286,                 0.9993,                0.97228,                      1,                0.99451,                0.96565,                0.27458,                0.25617,                0.81455,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.2808,                0.33237,                0.92705,                0.99728,                      1,                  0.995,                0.96712,                0.27516,                0.24945,                 0.8091,               0.000218,               0.000218,               0.000218
                     92,                0.26741,                0.30209,                0.92258,                0.99845,                      1,                  0.995,                0.96543,                0.27365,                0.24709,                0.80916,              0.0001982,              0.0001982,              0.0001982
                     93,                0.25445,                0.28688,                 0.9093,                 0.9984,                      1,                  0.995,                0.96478,                0.27502,                0.25073,                0.80937,              0.0001784,              0.0001784,              0.0001784
                     94,                0.25516,                0.28922,                0.92001,                0.99832,                      1,                  0.995,                0.96675,                0.27384,                0.24884,                0.81181,              0.0001586,              0.0001586,              0.0001586
                     95,                0.25707,                0.29351,                0.93105,                0.99841,                      1,                  0.995,                0.96755,                0.27005,                0.23691,                 0.8113,              0.0001388,              0.0001388,              0.0001388
                     96,                0.25419,                0.28537,                0.91953,                0.99858,                      1,                  0.995,                0.97132,                0.26573,                0.23713,                0.80797,               0.000119,               0.000119,               0.000119
                     97,                0.25471,                 0.2814,                0.91836,                 0.9986,                      1,                  0.995,                0.97143,                0.26486,                0.22823,                0.80607,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.23759,                0.27067,                0.91682,                0.99861,                      1,                  0.995,                0.97963,                0.26056,                 0.2278,                0.80339,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.23141,                 0.2635,                0.90054,                0.99861,                      1,                  0.995,                0.97587,                0.25645,                 0.2225,                0.80084,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.23641,                0.25977,                0.89067,                0.99858,                      1,                  0.995,                0.97246,                0.25384,                0.21913,                0.80012,               3.98e-05,               3.98e-05,               3.98e-05
